Condition,Samples_Classified,Prcnt_Records,Total_Prcnt_Seqs,Rank
A,143,21.0294117647059,31.9746800325505,Species
B,205,30.1470588235294,10.5327892281573,Species
C,5,0.735294117647059,0.424423382319501,Genus
G,29,4.26470588235294,7.81109523613036,Species
H,280,41.1764705882353,47.8819157710817,Genus
None met,18,2.64705882352941,1.37509634976064,Multiple
